Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/input_Report Name""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.018s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/input_Report Name""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.026s,PASSED
"waitForElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Edit Form Title""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.018s,PASSED
"waitForElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Edit Form Title""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.028s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Edit Form Title""), ""Edit Form"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.029s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_File Area Tag""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.018s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_File Area Tag""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.029s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_File Area Tag""), ""File Area Tag"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.030s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/select_File Area Tag dropdown""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.017s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/select_File Area Tag dropdown""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.027s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Active""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.018s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Active""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.027s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Active""), ""Active"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.029s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Active_switch""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.019s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Active_switch""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.027s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Has PHI""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.018s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Has PHI""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:19,0.025s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Has PHI""), ""Has PHI"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:19,2019-01-23 11:47:20,0.028s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Has PHI_switch""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:20,2019-01-23 11:47:20,0.016s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Has PHI_switch""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:20,2019-01-23 11:47:20,0.029s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Use Query Central""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:20,2019-01-23 11:47:20,0.017s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Use Query Central""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:20,2019-01-23 11:47:20,0.025s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/label_Use Query Central""), ""Use Query Central"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:20,2019-01-23 11:47:20,0.026s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Report Types/Create and Edit report/span_Use Query Central_switch""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:47:20,2019-01-23 11:47:20,0.017s,PASSED
